threshold,precision,recall,f1,balanced_accuracy
0.475,0.7342816500711238,0.8580452127659575,0.7913536716234861,0.8344307489796974
0.425,0.7154569892473118,0.8848071808510638,0.7911712247324614,0.835202861237766
0.45,0.7241331675645808,0.871343085106383,0.790946812523576,0.8345473780808399
0.4,0.706916918230739,0.895279255319149,0.7900256692335901,0.8345648859135749
0.375,0.6990900935537614,0.906748670212766,0.7894927274042984,0.8344762188414447
0.5,0.7415105386416861,0.8420877659574468,0.7886052303860523,0.8316171055835442
0.35,0.6901655795283492,0.914561170212766,0.7866742922505005,0.8322046280474402
0.325,0.6822878228782288,0.9220412234042553,0.7842499646543193,0.8302225562028366
0.525,0.7482581036049681,0.8211436170212766,0.7830084006974164,0.8264113872021513
0.3,0.6750572082379863,0.9316821808510638,0.7828758991549689,0.8292196604073022
0.275,0.6676901275389703,0.9398271276595744,0.7807235570284452,0.8274181212533238
0.25,0.6588941475239525,0.9488031914893617,0.777709653246134,0.8247661896276057
0.55,0.7556361343212991,0.7967087765957447,0.7756290962051946,0.8198654273904387
0.225,0.6509156680985756,0.9571143617021277,0.7748620643251245,0.8221869155077379
0.2,0.6439116439116439,0.9642619680851063,0.7721797004991681,0.8196841539838131
0.175,0.634257748776509,0.9694148936170213,0.7668134902373283,0.8144117206590271
0.575,0.7644915534945346,0.7672872340425532,0.7658868425418948,0.811636325143618
0.15,0.6267650834403081,0.9739029255319149,0.7626920072897683,0.810275343665289
0.125,0.6180978374973756,0.9787234042553191,0.7576888431347317,0.8051405151720185
0.1,0.6105436913236356,0.9837101063829787,0.7534534343370043,0.800696454852417
0.6,0.7745908850959,0.7317154255319149,0.7525429523890931,0.8009903844289107
0.625,0.783626826526789,0.6953125,0.7368328342434385,0.7891693146141381
0.65,0.7968401863479846,0.6539228723404256,0.7183420067561399,0.7761714827572089
0.675,0.8092795003345974,0.6030585106382979,0.6911134393751786,0.7582337317218226
0.7,0.8235294117647058,0.5561835106382979,0.6639547574164104,0.741784281144549
0.725,0.8294918078311581,0.4965093085106383,0.6211916398045129,0.7171628981281164
0.75,0.844205193160228,0.4431515957446808,0.5812077610638762,0.6966618825391421
0.775,0.8537110075295805,0.3957779255319149,0.5408290743895514,0.6772286427335491
0.8,0.87,0.3470744680851064,0.49619771863117873,0.6577381657824762
0.825,0.8847836655323287,0.3025265957446808,0.45088566827697263,0.6392620825593973
0.85,0.8965721040189125,0.2521609042553192,0.39361702127659576,0.6172187952510139
0.875,0.9113029827315542,0.19298537234042554,0.31851851851851853,0.5907705877298643
0.9,0.9173754556500607,0.12549867021276595,0.22079251352536922,0.5593059484343149
