model,accuracy,balanced_accuracy,f1,precision,recall,roc_auc,pr_auc
hist_gb,0.8290748898678414,0.8316171055835442,0.7886052303860523,0.7415105386416861,0.8420877659574468,0.9072681141424502,0.8213361314109473
random_forest,0.800629326620516,0.7958691413404644,0.7467220978573713,0.7193468884781269,0.7762632978723404,0.8883742502607321,0.7883551152082519
log_reg,0.7890497168030207,0.8063931501008451,0.7590915624550812,0.6686502912129653,0.8778257978723404,0.8829081702052243,0.7690386583337296
most_popular_offer,0.6580868470736312,0.6047634536920518,0.4603158835800139,0.5719575413478154,0.3851396276595745,0.6682628142521301,0.5099852922564039
most_popular_offer,0.6580868470736312,0.6047634536920518,0.4603158835800139,0.5719575413478154,0.3851396276595745,0.6682628142521301,0.5099852922564039
svd_collaborative,0.6213971050975456,0.5,0.0,0.0,0.0,0.5386410494302682,0.40389653340967
svd_collaborative,0.6213971050975456,0.5,0.0,0.0,0.0,0.5386663095293248,0.4038100699427533
